Job Info
Name;Synergy, S, aureus del,mutants
Status;Completed
Job ID;10
Job last modified;11-06-2014 10:46:55

Repetitions;49
Time between repetitions;00:30:00
Acquire started;10-06-2014 10:39:39
Acquire completed;11-06-2014 10:44:01
Acquire duration;24:04:22
Growth Kinetics Analysis plugin;FullImageFeatures,dll

Name;ImageDistance;CameraStartPosition;Scan length;NumberOfImages;IlluminationLevel;IlluminationTime;TrayPosition;FocusPosition
A1;4,62746099855975;14198,3815144668;405;10;204;2;10940;3083,05392085051
A2;4,62746099855975;23176,3815144668;405;10;201;2;10940;3007,5
A3;4,62746099855975;32154,3815144668;405;10;205;2;10940;3051,56970937324
A4;4,62746099855975;41132,3815144668;405;10;208;2;10940;3007,5
A5;4,62746099855975;50110,3815144668;405;10;209;2;10940;2931,61984422536
A6;4,62746099855975;59088,3815144668;405;10;209;2;10940;3007,5
A7;4,62746099855975;68066,3815144668;405;10;211;2;10940;2931,35131233454
A8;4,62746099855975;77044,3815144668;405;10;216;2;10940;3066,1365850491
A9;4,62746099855975;86022,3815144668;405;10;210;2;10940;3032,33373347671
A10;4,62746099855975;95000,3815144668;405;10;208;2;10940;3014,71278222481
A11;4,62746099855975;103978,381514467;405;10;210;2;10940;3052,96709125308
A12;4,62746099855975;112948,381514467;405;10;211;2;10940;3006,16941446401
B12;4,62746099855975;112948,381514467;405;10;204;2;19858;3025,77335563854
B11;4,62746099855975;103978,381514467;405;10;209;2;19858;3088,96291245435
B10;4,62746099855975;95000,3815144668;405;10;211;2;19858;3010,76497499266
B9;4,62746099855975;86022,3815144668;405;10;207;2;19858;3077,09879745907
B8;4,62746099855975;77044,3815144668;405;10;215;2;19858;2933,87843793152
B7;4,62746099855975;68066,3815144668;405;10;205;2;19858;3005,21800812242
B6;4,62746099855975;59088,3815144668;405;10;206;2;19858;3007,5
B5;4,62746099855975;50110,3815144668;405;10;198;2;19858;3007,5
B4;4,62746099855975;41132,3815144668;405;10;212;2;19858;2949,00941362557
B3;4,62746099855975;32154,3815144668;405;10;208;2;19858;3016,19305797475
B2;4,62746099855975;23176,3815144668;405;10;202;2;19858;3089,77490433261
B1;4,62746099855975;14198,3815144668;405;10;199;2;19858;2936,96362503857
C1;4,62746099855975;14198,3815144668;405;10;199;2;28766;3011,07056419739
C2;4,62746099855975;23176,3815144668;405;10;198;2;28766;2994,37066698999
C3;4,62746099855975;32154,3815144668;405;10;202;2;28766;2982,9067040549
C4;4,62746099855975;41132,3815144668;405;10;208;2;28766;2963,19295335415
C5;4,62746099855975;50110,3815144668;405;10;199;2;28766;3001,4382247937
C6;4,62746099855975;59088,3815144668;405;10;206;2;28766;2934,89214589263
C7;4,62746099855975;68066,3815144668;405;10;207;2;28766;3087,94436224223
C8;4,62746099855975;77044,3815144668;405;10;211;2;28766;2987,51823517531
C9;4,62746099855975;86022,3815144668;405;10;214;2;28766;3084,52089237886
C10;4,62746099855975;95000,3815144668;405;10;209;2;28766;3077,04880880101
C11;4,62746099855975;103978,381514467;405;10;205;2;28766;2959,09140345544
C12;4,62746099855975;112948,381514467;405;10;210;2;28766;3007,5
D12;4,62746099855975;112948,381514467;405;10;203;2;37694;3074,25084778174
D11;4,62746099855975;103978,381514467;405;10;208;2;37694;3007,5
D10;4,62746099855975;95000,3815144668;405;10;206;2;37694;2956,0872049489
D9;4,62746099855975;86022,3815144668;405;10;217;2;37694;2934,32452382262
D8;4,62746099855975;77044,3815144668;405;10;206;2;37694;3020,7901504418
D7;4,62746099855975;68066,3815144668;405;10;212;2;37694;2994,7595519517
D6;4,62746099855975;59088,3815144668;405;10;198;2;37694;3016,55238173198
D5;4,62746099855975;50110,3815144668;405;10;197;2;37694;2975,71692341954
D4;4,62746099855975;41132,3815144668;405;10;200;2;37694;2920,0030276825
D3;4,62746099855975;32154,3815144668;405;10;206;2;37694;3023,61555583198
D2;4,62746099855975;23176,3815144668;405;10;199;2;37694;2920,18994308607
D1;4,62746099855975;14198,3815144668;405;10;206;2;37694;3020,29818720129
E1;4,62746099855975;14198,3815144668;405;10;214;2;46612;3003,90273810447
E2;4,62746099855975;23176,3815144668;405;10;201;2;46612;3007,5
E3;4,62746099855975;32154,3815144668;405;10;202;2;46612;3068,65256015546
E4;4,62746099855975;41132,3815144668;405;10;214;2;46612;2926,81093423711
E5;4,62746099855975;50110,3815144668;405;10;212;2;46612;2941,39265128079
E6;4,62746099855975;59088,3815144668;405;10;210;2;46612;2985,59819502774
E7;4,62746099855975;68066,3815144668;405;10;204;2;46612;3017,60553020294
E8;4,62746099855975;77044,3815144668;405;10;205;2;46612;2930,17646929916
E9;4,62746099855975;86022,3815144668;405;10;207;2;46612;3008,38925219254
E10;4,62746099855975;95000,3815144668;405;10;208;2;46612;2997,94153524472
E11;4,62746099855975;103978,381514467;405;10;208;2;46612;3071,39099259381
E12;4,62746099855975;112948,381514467;405;10;210;2;46612;3007,5
F12;4,62746099855975;112948,381514467;405;10;210;2;55530;3056,0160850303
F11;4,62746099855975;103978,381514467;405;10;210;2;55530;3059,81802006226
F10;4,62746099855975;95000,3815144668;405;10;205;2;55530;3086,74975030929
F9;4,62746099855975;86022,3815144668;405;10;215;2;55530;3089,67098299793
F8;4,62746099855975;77044,3815144668;405;10;203;2;55530;3065,61732552308
F7;4,62746099855975;68066,3815144668;405;10;207;2;55530;2919,90646965727
F6;4,62746099855975;59088,3815144668;405;10;204;2;55530;3088,92780903051
F5;4,62746099855975;50110,3815144668;405;10;207;2;55530;3003,46427042205
F4;4,62746099855975;41132,3815144668;405;10;209;2;55530;3033,29023927049
F3;4,62746099855975;32154,3815144668;405;10;209;2;55530;3007,5
F2;4,62746099855975;23176,3815144668;405;10;201;2;55530;3007,5
F1;4,62746099855975;14198,3815144668;405;10;198;2;55530;3085,99093487635
G1;4,62746099855975;14198,3815144668;405;10;210;2;64448;2946,87352181598
G2;4,62746099855975;23176,3815144668;405;10;198;2;64448;3072,30876409037
G3;4,62746099855975;32154,3815144668;405;10;214;2;64448;2918,88715647374
G4;4,62746099855975;41132,3815144668;405;10;208;2;64448;3007,5
G5;4,62746099855975;50110,3815144668;405;10;201;2;64448;2942,89094727431
G6;4,62746099855975;59088,3815144668;405;10;209;2;64448;3013,42949984596
G7;4,62746099855975;68066,3815144668;405;10;212;2;64448;2991,76344128761
G8;4,62746099855975;77044,3815144668;405;10;213;2;64448;2930,69270410352
G9;4,62746099855975;86022,3815144668;405;10;213;2;64448;3058,02406797582
G10;4,62746099855975;95000,3815144668;405;10;206;2;64448;2936,8232859409
G11;4,62746099855975;103978,381514467;405;10;213;2;64448;2947,53344949331
G12;4,62746099855975;112948,381514467;405;10;209;2;64448;3007,5
H12;4,62746099855975;112948,381514467;405;10;215;2;73366;2958,50674961608
H11;4,62746099855975;103978,381514467;405;10;210;2;73366;3007,5
H10;4,62746099855975;95000,3815144668;405;10;210;2;73366;3086,05574885376
H9;4,62746099855975;86022,3815144668;405;10;204;2;73366;3093,7789720675
H8;4,62746099855975;77044,3815144668;405;10;209;2;73366;3007,5
H7;4,62746099855975;68066,3815144668;405;10;204;2;73366;3040,03077051412
H6;4,62746099855975;59088,3815144668;405;10;206;2;73366;3004,88232986119
H5;4,62746099855975;50110,3815144668;405;10;204;2;73366;3083,28320238281
H4;4,62746099855975;41132,3815144668;405;10;209;2;73366;3018,0746015432
H3;4,62746099855975;32154,3815144668;405;10;211;2;73366;3015,11918101322
H2;4,62746099855975;23176,3815144668;405;10;206;2;73366;2933,50411066186
H1;4,62746099855975;14198,3815144668;405;10;207;2;73366;3015,57195417505

Features
ScanArea,Name;ScanArea,CameraStartPosition;ScanArea,ImageDistance;ScanArea,FocusPosition;ScanArea,IlluminationLevel;ScanArea,IlluminationTime;ScanArea,NumberOfImages;Repetition in job;BCA;BCANormalized;SESA;SESANormalized;TA;TANormalized;TimestampInSeconds
A1;14198,3815144668;4,62746099855975;3083,05392085051;204;2;10;0;5,65376395765692;0;4,11334268129509;0;8,58979749815179;0;207
A1;14198,3815144668;4,62746099855975;3083,05392085051;204;2;10;1;5,76858627631192;0,114822318654998;4,2043714645297;0,0910287832346039;8,58506252741415;-0,00473497073763163;2008
A1;14198,3815144668;4,62746099855975;3083,05392085051;204;2;10;2;5,9515581994048;0,297794241747876;4,4147872687895;0,301444587494403;8,58776101241403;-0,00203648573775084;3808
A1;14198,3815144668;4,62746099855975;3083,05392085051;204;2;10;3;6,39017048001147;0,736406522354542;4,74145800700318;0,628115325708082;8,60068740228998;0,0108899041381925;5608
A1;14198,3815144668;4,62746099855975;3083,05392085051;204;2;10;4;7,54713850957722;1,8933745519203;5,20294726376349;1,0896045824684;8,6397738395054;0,049976341353613;7409
A1;14198,3815144668;4,62746099855975;3083,05392085051;204;2;10;5;8,7074628497681;3,05369889211118;5,3921864202555;1,2788437389604;8,71484650455561;0,125049006403822;9208
A1;14198,3815144668;4,62746099855975;3083,05392085051;204;2;10;6;8,82591562624012;3,1721516685832;5,44638360831753;1,33304092702244;8,82581707137849;0,236019573226709;11008
A1;14198,3815144668;4,62746099855975;3083,05392085051;204;2;10;7;8,93392851159338;3,28016455393646;5,1535609539684;1,04021827267331;8,93391337299137;0,344115874839584;12808
A1;14198,3815144668;4,62746099855975;3083,05392085051;204;2;10;8;8,98596254575477;3,33219858809785;4,51088195030795;0,397539269012855;8,98589672740114;0,396099229249351;14608
A1;14198,3815144668;4,62746099855975;3083,05392085051;204;2;10;9;9,01492412979439;3,36116017213746;1,99799010593093;-2,11535257536417;9,01491142396587;0,425113925814081;16409
A1;14198,3815144668;4,62746099855975;3083,05392085051;204;2;10;10;9,02319686994474;3,36943291228782;0;-4,11334268129509;9,02320885654263;0,43341135839084;18209
A1;14198,3815144668;4,62746099855975;3083,05392085051;204;2;10;11;9,0251578810915;3,37139392343457;0;-4,11334268129509;9,02516366990572;0,435366171753937;20009
A1;14198,3815144668;4,62746099855975;3083,05392085051;204;2;10;12;9,0242035731727;3,37043961551577;0;-4,11334268129509;9,02420232750916;0,434404829357376;21809
A1;14198,3815144668;4,62746099855975;3083,05392085051;204;2;10;13;9,02226205453978;3,36849809688285;0,107918124604762;-4,00542455669033;9,02226441960971;0,432466921457923;23609
A1;14198,3815144668;4,62746099855975;3083,05392085051;204;2;10;14;9,02116157326805;3,36739761561113;0;-4,11334268129509;9,02115873355812;0,431361235406335;25409
