Job Info
Name;Stine 48 h v?kstfors?g
Status;Completed
Job ID;9
Job last modified;06-06-2014 13:55:25

Repetitions;61
Time between repetitions;00:30:00
Time between repetitions starting from 12:00:00;01:00:00
Acquire started;04-06-2014 13:18:10
Acquire completed;06-06-2014 13:52:34
Acquire duration;48:34:24
Growth Kinetics Analysis plugin;FullImageFeatures.dll

Name;ImageDistance;CameraStartPosition;Scan length;NumberOfImages;IlluminationLevel;IlluminationTime;TrayPosition;FocusPosition
A1;4.62746099855975;14198.3815144668;405;10;203;2;10940;2929.01670912009
A2;4.62746099855975;23176.3815144668;405;10;209;2;10940;3012.06657214438
A3;4.62746099855975;32154.3815144668;405;10;210;2;10940;2950
A4;4.62746099855975;41132.3815144668;405;10;209;2;10940;3022.139940129
A5;4.62746099855975;50110.3815144668;405;10;205;2;10940;2970.69297272197
A6;4.62746099855975;59088.3815144668;405;10;205;2;10940;2995.70374044216
A7;4.62746099855975;68066.3815144668;405;10;206;2;10940;2959.1188799876
A8;4.62746099855975;77044.3815144668;405;10;205;2;10940;3029.98158064269
A9;4.62746099855975;86022.3815144668;405;10;211;2;10940;2970.63132928344
A10;4.62746099855975;95000.3815144668;405;10;209;2;10940;2874.87617083644
A11;4.62746099855975;103978.381514467;405;10;210;2;10940;2979.13989413576
A12;4.62746099855975;112948.381514467;405;10;217;2;10940;2950
B12;4.62746099855975;112948.381514467;405;10;209;2;19858;3019.37283968827
B11;4.62746099855975;103978.381514467;405;10;212;2;19858;2944.72291303673
B10;4.62746099855975;95000.3815144668;405;10;212;2;19858;2877.55208791977
B9;4.62746099855975;86022.3815144668;405;10;210;2;19858;2880.83088688574
B8;4.62746099855975;77044.3815144668;405;10;215;2;19858;2884.09914226721
B7;4.62746099855975;68066.3815144668;405;10;212;2;19858;3034.27696703538
B6;4.62746099855975;59088.3815144668;405;10;206;2;19858;3021.1339228048
B5;4.62746099855975;50110.3815144668;405;10;213;2;19858;2996.59660920583
B4;4.62746099855975;41132.3815144668;405;10;209;2;19858;2877.43780288631
B3;4.62746099855975;32154.3815144668;405;10;215;2;19858;2876.460749917
B2;4.62746099855975;23176.3815144668;405;10;215;2;19858;2878.28895834729
B1;4.62746099855975;14198.3815144668;405;10;214;2;19858;3018.04142616195
C1;4.62746099855975;14198.3815144668;405;10;211;2;28766;2928.05313797235
C2;4.62746099855975;23176.3815144668;405;10;215;2;28766;2895.34350747697
C3;4.62746099855975;32154.3815144668;405;10;211;2;28766;2887.06387740362
C4;4.62746099855975;41132.3815144668;405;10;216;2;28766;2950
C5;4.62746099855975;50110.3815144668;405;10;212;2;28766;2997.44551594853
C6;4.62746099855975;59088.3815144668;405;10;210;2;28766;2879.46145564789
C7;4.62746099855975;68066.3815144668;405;10;214;2;28766;2872.48554466007
C8;4.62746099855975;77044.3815144668;405;10;217;2;28766;2950
C9;4.62746099855975;86022.3815144668;405;10;212;2;28766;2940.45132896254
C10;4.62746099855975;95000.3815144668;405;10;217;2;28766;2960.73348488021
C11;4.62746099855975;103978.381514467;405;10;223;2;28766;2873.30731840514
C12;4.62746099855975;112948.381514467;405;10;215;2;28766;3013.83411917205
D12;4.62746099855975;112948.381514467;405;10;214;2;37694;3026.15306374326
D11;4.62746099855975;103978.381514467;405;10;208;2;37694;3019.19354611661
D10;4.62746099855975;95000.3815144668;405;10;216;2;37694;3002.90169612053
D9;4.62746099855975;86022.3815144668;405;10;210;2;37694;2907.05781554274
D8;4.62746099855975;77044.3815144668;405;10;210;2;37694;3014.8789127885
D7;4.62746099855975;68066.3815144668;405;10;218;2;37694;2975.96006835116
D6;4.62746099855975;59088.3815144668;405;10;216;2;37694;2953.07394928017
D5;4.62746099855975;50110.3815144668;405;10;217;2;37694;2873.06186807637
D4;4.62746099855975;41132.3815144668;405;10;205;2;37694;2953.37452446868
D3;4.62746099855975;32154.3815144668;405;10;216;2;37694;2891.48814526764
D2;4.62746099855975;23176.3815144668;405;10;205;2;37694;2943.34080487581
D1;4.62746099855975;14198.3815144668;405;10;209;2;37694;2950
E1;4.62746099855975;14198.3815144668;405;10;209;2;46612;2884.62872639432
E2;4.62746099855975;23176.3815144668;405;10;216;2;46612;2950
E3;4.62746099855975;32154.3815144668;405;10;210;2;46612;3004.6877001804
E4;4.62746099855975;41132.3815144668;405;10;209;2;46612;2950
E5;4.62746099855975;50110.3815144668;405;10;211;2;46612;2979.18147731726
E6;4.62746099855975;59088.3815144668;405;10;208;2;46612;3018.11625922978
E7;4.62746099855975;68066.3815144668;405;10;214;2;46612;2892.4041736518
E8;4.62746099855975;77044.3815144668;405;10;214;2;46612;2886.18487048068
E9;4.62746099855975;86022.3815144668;405;10;217;2;46612;3025.75789601879
E10;4.62746099855975;95000.3815144668;405;10;220;2;46612;2877.90020043446
E11;4.62746099855975;103978.381514467;405;10;217;2;46612;2950
E12;4.62746099855975;112948.381514467;405;10;227;2;46612;2893.13787750458
F12;4.62746099855975;112948.381514467;405;10;218;2;55530;2863.17654492206
F11;4.62746099855975;103978.381514467;405;10;214;2;55530;2995.07752872842
F10;4.62746099855975;95000.3815144668;405;10;218;2;55530;3029.84325632887
F9;4.62746099855975;86022.3815144668;405;10;215;2;55530;2950
F8;4.62746099855975;77044.3815144668;405;10;216;2;55530;3033.97739995519
F7;4.62746099855975;68066.3815144668;405;10;216;2;55530;2947.81711254029
F6;4.62746099855975;59088.3815144668;405;10;220;2;55530;2873.86903706794
F5;4.62746099855975;50110.3815144668;405;10;216;2;55530;3020.28992938836
F4;4.62746099855975;41132.3815144668;405;10;219;2;55530;2993.4058192159
F3;4.62746099855975;32154.3815144668;405;10;210;2;55530;2973.56081543604
F2;4.62746099855975;23176.3815144668;405;10;208;2;55530;3016.00555326246
F1;4.62746099855975;14198.3815144668;405;10;209;2;55530;3027.49692832231
G1;4.62746099855975;14198.3815144668;405;10;221;2;64448;2945.57320483981
G2;4.62746099855975;23176.3815144668;405;10;213;2;64448;2889.95573822085
G3;4.62746099855975;32154.3815144668;405;10;213;2;64448;2867.21790796018
G4;4.62746099855975;41132.3815144668;405;10;210;2;64448;3018.64691673923
G5;4.62746099855975;50110.3815144668;405;10;214;2;64448;3015.7268705
G6;4.62746099855975;59088.3815144668;405;10;222;2;64448;2927.20459747646
G7;4.62746099855975;68066.3815144668;405;10;220;2;64448;2950
G8;4.62746099855975;77044.3815144668;405;10;214;2;64448;3015.68820694346
G9;4.62746099855975;86022.3815144668;405;10;219;2;64448;2950
G10;4.62746099855975;95000.3815144668;405;10;223;2;64448;2866.89361912923
G11;4.62746099855975;103978.381514467;405;10;221;2;64448;2862.84252174656
G12;4.62746099855975;112948.381514467;405;10;217;2;64448;3025.00753242826
H12;4.62746099855975;112948.381514467;405;10;224;2;73366;2963.85189511535
H11;4.62746099855975;103978.381514467;405;10;219;2;73366;2879.98419977867
H10;4.62746099855975;95000.3815144668;405;10;220;2;73366;2873.08384424543
H9;4.62746099855975;86022.3815144668;405;10;226;2;73366;2887.87845147949
H8;4.62746099855975;77044.3815144668;405;10;225;2;73366;2973.21426547905
H7;4.62746099855975;68066.3815144668;405;10;217;2;73366;2950
H6;4.62746099855975;59088.3815144668;405;10;222;2;73366;2931.07199067604
H5;4.62746099855975;50110.3815144668;405;10;222;2;73366;2953.68662728369
H4;4.62746099855975;41132.3815144668;405;10;215;2;73366;3001.71022237042
H3;4.62746099855975;32154.3815144668;405;10;219;2;73366;3017.50300103919
H2;4.62746099855975;23176.3815144668;405;10;211;2;73366;3026.93422369435
